DEPTH,CALI,DENC,DENS,DTC,DTS,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1812.0116,12.3946,-0.0182,2.2024,112.3196,189.9182,203.479,209.3611,70.0034,0.3839,3.298,1.2838,0.7671,1.0902,82.375
1812.164,12.3946,-0.0182,2.1634,112.3232,189.8086,203.479,209.0574,63.8553,0.3892,3.2081,1.0512,0.7795,0.9048,84.5625
1812.3164,12.617,-0.0194,2.1303,115.1364,189.4193,203.479,209.0574,46.6655,0.4053,3.2001,0.9743,0.6701,0.8415,85.375
1812.4688,12.565,-0.0217,2.1047,115.5873,189.6055,203.479,208.8855,46.8279,0.4047,3.0619,0.9366,0.6679,0.8082,85.5
1812.6212,12.5874,-0.0547,2.1331,118.1742,189.7373,203.479,208.9587,42.9359,0.397,3.2066,0.8942,0.7894,0.7666,85.875
1812.7736,8.2399,-0.0553,2.1601,119.2296,189.5266,210.0296,215.3282,46.9197,0.4135,3.3871,0.9213,0.8551,0.7886,86.0625
1812.926,12.5215,-0.0541,2.2192,119.0688,189.4013,203.479,208.9587,47.0412,0.3645,3.8008,0.9842,0.8568,0.8479,85.75
1813.0784,12.4768,-0.0624,2.1695,119.7265,189.272,203.479,208.9587,52.7487,0.3619,3.8986,1.0547,1.1372,0.8953,85.5
1813.2308,12.6372,-0.0563,2.1578,118.8201,189.5102,203.1675,208.6501,60.5399,0.3925,4.1126,1.2875,1.0765,1.0754,84.4375
1813.3832,12.2248,-0.0176,2.1427,115.6001,189.0606,203.7904,209.2673,59.4189,0.4604,4.1691,1.6405,2.1117,1.3401,84.3125
1813.5356,12.4574,-0.022,2.0904,113.7464,189.0698,203.8872,208.9587,61.4743,0.5096,4.1212,1.6933,1.8789,1.3616,84.5625
1813.688,12.5101,-0.0219,2.1136,113.2721,188.8922,203.8872,208.8576,66.0675,0.5076,3.9015,1.6876,2.0064,1.3618,84.375
1813.8404,12.7137,-0.023,2.1738,112.4725,189.2287,203.5861,208.596,65.3303,0.4543,3.7171,1.6571,1.9097,1.3635,84.4375
1813.9928,12.323,-0.024,2.2335,113.4818,189.3319,204.1883,209.213,66.8962,0.4191,3.7596,1.6461,1.5856,1.3543,83.0625
1814.1452,12.6375,-0.029,2.2481,112.6618,189.7592,203.5861,208.596,70.4082,0.3886,3.6802,1.6832,1.6851,1.3896,82.75
1814.2976,12.2148,-0.0317,2.2426,112.3424,190.248,204.1883,208.2202,68.2201,0.3837,3.6104,1.7546,2.137,1.443,82.875
1814.45,12.3638,-0.0269,2.2589,112.0659,190.1499,204.1883,208.2202,70.0601,0.3637,3.3714,1.8017,2.3238,1.4747,82.25
1814.6024,12.359,-0.0203,2.2597,113.4614,190.2023,204.1883,208.2202,68.6914,0.3533,3.3496,1.9339,2.1055,1.5842,81.5625
1814.7548,12.3728,-0.0175,2.2577,110.2243,190.3521,204.1883,208.2202,70.9264,0.3524,3.2994,2.0356,2.4963,1.6705,80.375
1814.9072,12.5323,-0.0169,2.2558,110.0903,190.5032,203.8872,207.7776,70.3617,0.367,3.4816,2.0575,2.5039,1.6801,81.1875
1815.0596,12.3438,-0.0136,2.2559,110.792,190.2985,203.8099,208.0774,74.5214,0.3897,3.5929,2.3345,2.8226,1.8874,81.375
1815.212,12.1593,-0.0128,2.2508,111.294,190.3187,203.8099,208.0774,75.5538,0.4053,3.7986,2.3169,2.9277,1.8625,80.625
1815.3644,12.3725,-0.0168,2.2417,111.7041,190.3242,203.8099,207.8872,71.8892,0.396,3.8173,2.1707,1.7648,1.7625,80.9375
1815.5168,12.3753,-0.0217,2.2357,112.3353,190.1313,203.4985,207.8156,69.6192,0.3911,3.6104,2.1142,1.5676,1.7138,80.5
1815.6692,12.3578,-0.0209,2.238,111.1328,189.8412,203.6255,208.1224,67.4493,0.3673,3.4327,1.6391,0.9995,1.3557,81.5625
1815.8216,12.5069,-0.025,2.2271,109.4564,189.7999,203.3143,207.8156,62.9552,0.3651,3.3298,1.4761,1.0152,1.2184,81.625
1815.974,12.0899,-0.0272,2.23,109.2036,189.9114,203.9366,208.4293,66.5154,0.359,3.4476,1.4856,1.7363,1.2268,82.25
1816.1264,12.2736,-0.0258,2.2432,109.1974,189.8833,203.6255,207.2065,68.4415,0.3623,3.4763,1.5462,1.7405,1.2646,82.3125
1816.2788,12.2808,-0.0221,2.2609,108.7649,189.6588,203.6255,207.2065,68.7218,0.3619,3.5935,1.9943,2.0643,1.5934,81.8125
1816.4312,12.2746,-0.0184,2.2687,109.3104,190.0168,202.765,207.3112,70.6669,0.3742,3.5897,2.1454,1.9926,1.7273,82.3125
1816.5836,12.2997,-0.0145,2.2736,110.5475,189.8996,202.765,206.7274,68.9227,0.3753,3.6356,2.1911,2.0235,1.7529,80.4375
1816.736,12.4729,-0.0154,2.2718,110.4068,189.9041,203.141,206.5486,73.5888,0.3747,3.7494,2.0834,1.9883,1.6611,81.125
1816.8884,12.287,-0.0153,2.267,109.3279,191.0477,203.4191,206.8535,69.3858,0.377,3.747,2.0254,1.9853,1.629,81.75
1817.0408,12.0793,-0.0163,2.2631,109.9911,190.0768,203.6475,205.4789,67.8821,0.3834,3.7482,1.9519,1.5375,1.5678,81.6875
1817.1932,12.2576,-0.0221,2.2572,110.0833,190.013,203.6312,205.1655,67.0425,0.3814,3.386,1.8158,1.4702,1.4545,82.1875
1817.3456,12.2335,-0.0223,2.2429,109.7347,190.2094,203.7001,205.1655,66.3657,0.356,3.1992,1.638,1.12,1.3229,81.375
1817.498,12.2281,-0.0198,2.2402,110.185,190.4177,203.7959,205.1655,64.8973,0.3459,3.1312,1.6137,1.1279,1.2922,82.25
1817.6504,12.2575,-0.019,2.2417,110.3194,189.988,203.0509,205.1655,66.0959,0.3398,3.2299,1.5576,1.9744,1.2375,81.875
1817.8028,12.5065,-0.0182,2.2601,109.1391,189.7847,203.2391,204.8521,67.594,0.3532,3.3522,1.5357,2.1344,1.2149,82.1875
1817.9552,12.2348,-0.013,2.2516,109.7826,190.2643,204.2732,205.1655,67.1432,0.3634,3.2759,1.5557,1.0632,1.225,82.5
