DEPTH,AT20,AT60,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMED,RSHAL
434.1376,,,,,,,,,,,,,
434.29,,,,,,,,,,,,,
434.4424,,,,,,,,,,,,,
434.5948,,,,,,,,,,,,,
434.7472,,,,,,,,,,,,,
434.8996,,,,,,,,,,,,,
435.052,,,,,,,,,,,,,
435.2044,,,,,,,,,,,,,
435.3568,,,,,,,,,,,,,
435.5092,,,,,,,,,,,,,
435.6616,,,,,,,,,,,,,
435.814,,,,,,,,,,,,,
435.9664,,,,,,,,,,,,,
436.1188,,,,,,,,,,,,,
436.2712,,,,,,,,,,,,,
436.4236,,,,,,,,,,,,,
436.576,,,,,,,,,,,,,
436.7284,,,,,,,,,,,,,
436.8808,,,,,,,,,,,,,
437.0332,,,,,,,,,,,,,
437.1856,,,,,,,,,,,,,
437.338,,,,,,,,,,,,,
437.4904,,,,,,,,,,,,,
437.6428,,,,,,,,,,,,,
437.7952,,,,,,,,,,,,,
437.9476,,,,,,,,,,,,,
438.1,,,,,,,,,,,,,
438.2524,,,,,,,,,,,,,
438.4048,,,,,,,,,,,,,
438.5572,,,,,,,,,,,,,
438.7096,,,,,,,,,,,,,
438.862,,,,,,,,,,,,,
439.0144,,,,,,,,,,,,,
439.1668,,,,,,,,,,,,,
439.3192,,,,,,,,,,,,,
439.4716,,,,,,,,,,,,,
439.624,,,,,,,,,,,,,
439.7764,,,,,,,,,,,,,
439.9288,,,,,,,,,,,,,
440.0812,,,,,,,,,,,,,
440.2336,,,,,,,,,,,,,
440.386,,,,,,,,,,,,,
440.5384,,,,,,,,,,,,,
440.6908,,,,,,,,,,,,,
440.8432,,,,,,,,,,,,,
440.9956,,,,,,,,,,,,,
441.148,,,,,,,,,,,,,
441.3004,,,,,,,,,,,,,
441.4528,,,,,,,,,,,,,
441.6052,,,,,,,,,,,,,
441.7576,,,,,,,,,,,,,
441.91,,,,,,,,,,,,,
442.0624,,,,,,,,,,,,,
442.2148,,,,,,,,,,,,,
442.3672,,,,,,,,,,,,,
442.5196,,,,,,,,,,,,,
442.672,,,,,,,,,,,,,
442.8244,,,,,,,,,,,,,
442.9768,,,,,,,,,,,,,
443.1292,,,,,,,,,,,,,
443.2816,,,,,,,,,,,,,
443.434,,,,,,,,,,,,,
443.5864,,,,,,,,,,,,,
443.7388,,,,,,,,,,,,,
443.8912,,,,,,,,,,,,,
444.0436,,,,,,,,,,,,,
444.196,,,,,,,,,,,,,
444.3484,,,,,,,,,,,,,
444.5008,,,,,,,,,,,,,
444.6532,,,,,,,,,,,,,
444.8056,,,,,,,,,,,,,
444.958,,,,,,,,,,,,,
445.1104,,,,,,,,,,,,,
445.2628,,,,,,,,,,,,,
445.4152,,,,,,,,,,,,,
445.5676,,,,,,,,,,,,,
445.72,,,,,,,,,,,,,
445.8724,,,,,,,,,,,,,
446.0248,,,,,,,,,,,,,
446.1772,,,,,,,,,,,,,
446.3296,,,,,,,,,,,,,
446.482,,,,,,,,,,,,,
446.6344,,,,,,,,,,,,,
446.7868,,,,,,,,,,,,,
446.9392,,,,,,,,,,,,,
447.0916,,,,,,,,,,,,,
447.244,,,,,,,,,,,,,
447.3964,,,,,,,,,,,,,
447.5488,,,,,,,,,,,,,
447.7012,,,,,,,,,,,,,
447.8536,,,,,,,,,,,,,
448.006,,,,,,,,,,,,,
448.1584,,,,,,,,,,,,,
448.3108,,,,,,,,,,,,,
448.4632,,,,,,,,,,,,,
448.6156,,,,,,,,,,,,,
448.768,,,,,,,,,,,,,
448.9204,,,,,,,,,,,,,
449.0728,,,,,,,,,,,,,
449.2252,,,,,,,,,,,,,
449.3776,,,,,,,,,,,,,
449.53,,,,,,,,,,,,,
449.6824,,,,,,,,,,,,,
449.8348,,,,,,,,,,,,,
449.9872,,,,,,,,,,,,,
450.1396,,,,,,,,,,,,,
450.292,,,,,,,,,,,,,
450.4444,,,,,,,,,,,,,
450.5968,,,,,,,,,,,,,
450.7492,,,,,,,,,,,,,
450.9016,,,,,,,,,,,,,
451.054,,,,,,,,,,,,,
451.2064,,,,,,,,,,,,,
451.3588,,,,,,,,,,,,,
451.5112,,,,,,,,,,,,,
451.6636,,,,,,,,,,,,,
451.816,,,,,,,,,,,,,
451.9684,,,,,,,,,,,,,
452.1208,,,,,,,,,,,,,
452.2732,,,,,,,,,,,,,
452.4256,,,,,,,,,,,,,
452.578,,,,,,,,,,,,,
452.7304,,,,,,,,,,,,,
452.8828,,,,,,,,,,,,,
453.0352,,,,,,,,,,,,,
453.1876,,,,,,,,,,,,,
453.34,,,,,,,,,,,,,
453.4924,,,,,,,,,,,,,
453.6448,,,,,,,,,,,,,
453.7972,,,,,,,,,,,,,
453.9496,,,,,,,,,,,,,
454.102,,,,,,,,,,,,,
454.2544,,,,,,,,,,,,,
454.4068,,,,,,,,,,,,,
454.5592,,,,,,,,,,,,,
454.7116,,,,,,,,,,,,,
454.864,,,,,,,,,,,,,
455.0164,,,,,,,,,,,,,
455.1688,,,,,,,,,,,,,
455.3212,,,,,,,,,,,,,
455.4736,,,,,,,,,,,,,
455.626,,,,,,,,,,,,,
455.7784,,,,,,,,,,,,,
455.9308,,,,,,,,,,,,,
456.0832,,,,,,,,,,,,,
456.2356,,,,,,,,,,,,,
456.388,,,,,,,,,,,,,
456.5404,,,,,,,,,,,,,
456.6928,,,,,,,,,,,,,
456.8452,,,,,,,,,,,,,
456.9976,,,,,,,,,,,,,
457.15,,,,,,,,,,,,,
457.3024,,,,,,,,,,,,,
457.4548,,,,,,,,,,,,,
457.6072,,,,,,,,,,,,,
457.7596,,,,,,,,,,,,,
457.912,,,,,,,,,,,,,
458.0644,,,,,,,,,,,,,
458.2168,,,,,,,,,,,,,
458.3692,,,,,,,,,,,,,
458.5216,,,,,,,,,,,,,
458.674,,,,,,,,,,,,,
458.8264,,,,,,,,,,,,,
458.9788,,,,,,,,,,,,,
459.1312,,,,,,,,,,,,,
459.2836,,,,,,,,,,,,,
459.436,,,,,,,,,,,,,
459.5884,,,,,,,,,,,,,
459.7408,,,,,,,,,,,,,
459.8932,,,,,,,,,,,,,
460.0456,,,,,,,,,,,,,
460.198,,,,,,,,,,,,,
460.3504,,,,,,,,,,,,,
460.5028,,,,,,,,,,,,,
460.6552,,,,,,,,,,,,,
460.8076,,,,,,,,,,,,,
460.96,,,,,,,,,,,,,
461.1124,,,,,,,,,,,,,
461.2648,,,,,,,,,,,,,
461.4172,,,,,,,,,,,,,
461.5696,,,,,,,,,,,,,
461.722,,,,,,,,,,,,,
461.8744,,,,,,,,,,,,,
462.0268,,,,,,,,,,,,,
462.1792,,,,,,,,,,,,,
462.3316,,,,,,,,,,,,,
462.484,,,,,,,,,,,,,
462.6364,,,,,,,,,,,,,
462.7888,,,,,,,,,,,,,
462.9412,,,,,,,,,,,,,
463.0936,,,,,,,,,,,,,
463.246,,,,,,,,,,,,,
463.3984,,,,,,,,,,,,,
463.5508,,,,,,,,,,,,,
463.7032,,,,,,,,,,,,,
463.8556,,,,,,,,,,,,,
464.008,,,,,,,,,,,,,
464.1604,,,,,,,,,,,,,
464.3128,,,,,,,,,,,,,
464.4652,,,,,,,,,,,,,
464.6176,,,,,,,,,,,,,
464.77,,,,,,,,,,,,,
464.9224,,,,,,,,,,,,,
465.0748,,,,,,,,,,,,,
465.2272,,,,,,,,,,,,,
465.3796,,,,,,,,,,,,,
465.532,,,,,,,,,,,,,
465.6844,,,,,,,,,,,,,
465.8368,,,,,,,,,,,,,
465.9892,,,,,,,,,,,,,
466.1416,,,,,,,,,,,,,
466.294,,,,,,,,,,,,,
466.4464,,,,,,,,,,,,,
466.5988,,,,,,,,,,,,,
