DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RACH,RDEP,RLA2,RLA4,RMED,RMIC,RPCH,RSHAL,SP
1599.7932,13.1738,0.0099,2.1937,118.096,261.59,74.7525,0.4846,3.1719,1.7258,2.1904,1.995,2.1904,2.1904,1.5599,1.5697,2.0002,39.12
1599.9456,13.1626,0.0336,2.1922,118.233,261.8,77.9366,0.4855,3.1089,1.7412,2.1965,2.057,2.1965,2.1965,1.1248,1.5823,1.8819,38.5298
1600.098,13.1813,0.0527,2.0588,119.352,263.073,78.6624,0.4788,3.0863,1.7532,2.2639,2.1107,2.2639,2.2639,1.1159,1.6082,2.0248,37.9007
1600.2504,13.1738,0.0537,2.2402,119.697,269.51,81.4951,0.4663,3.067,1.758,2.1704,2.0212,2.1704,2.1704,1.9716,1.6317,1.9345,37.0617
1600.4028,13.1513,0.0321,2.2253,120.017,271.876,77.969,0.4572,2.9676,1.7601,2.1399,1.9898,2.1399,2.1399,1.5166,1.6334,1.8205,36.113
1600.5552,13.1064,0.0117,2.2107,119.648,271.048,78.4339,0.455,2.9428,1.763,2.1697,2.0254,2.1697,2.1697,1.5576,1.6196,1.8246,34.7001
1600.7076,13.1139,0.0072,2.2094,121.106,270.112,77.0833,0.4526,2.969,1.7604,2.138,1.9523,2.138,2.138,1.5241,1.6027,1.9213,33.3046
1600.86,13.2075,0.0012,2.1793,121.886,272.9,81.5538,0.4544,2.9999,1.7585,2.0804,1.9545,2.0804,2.0804,1.6287,1.5877,1.8328,32.6868
1601.0124,13.1513,-0.0002,2.1703,122.161,271.714,80.0422,0.4555,3.0366,1.7626,2.0618,1.9877,2.0618,2.0618,1.5764,1.581,1.9291,32.5806
1601.1648,13.1438,0.0003,2.1611,121.918,269.397,77.8191,0.4533,3.0715,1.7696,2.1542,2.0325,2.1542,2.1542,1.5329,1.5939,1.8582,32.5785
1601.3172,13.0614,0.0005,2.1416,122.282,269.221,73.3516,0.4438,3.0523,1.7725,2.1244,2.0192,2.1244,2.1244,1.5418,1.6081,1.871,33.1216
1601.4696,13.039,0.0044,2.1695,121.705,268.754,74.1611,0.4439,2.986,1.7787,2.1264,2.0052,2.1264,2.1264,1.7639,1.6198,1.8828,33.2791
1601.622,13.0165,0.0055,2.2038,120.632,268.046,76.4189,0.4519,2.9809,1.7845,2.1638,2.0377,2.1638,2.1638,1.6996,1.6244,1.7853,33.4784
1601.7744,12.994,0.0039,2.1658,119.142,267.33,78.6634,0.4599,3.0345,1.7814,2.0974,1.9609,2.0974,2.0974,1.5301,1.6169,1.8169,33.9903
1601.9268,13.0015,0.0002,2.153,120.031,264.15,76.7834,0.4623,3.0635,1.7743,2.0517,1.9276,2.0517,2.0517,1.426,1.6073,1.7216,34.5501
1602.0792,13.009,0.0001,2.1795,119.862,262.096,74.4787,0.4568,3.0719,1.769,2.0873,1.9559,2.0873,2.0873,1.4796,1.5958,1.6977,35.3127
1602.2316,13.039,0.0006,2.1649,119.739,260.646,72.0439,0.4222,3.0568,1.7768,2.2575,2.1066,2.2575,2.2575,1.6257,1.6107,1.7946,35.584
1602.384,13.1513,0.0052,2.1738,119.494,255.882,75.5444,0.4207,3.0575,1.7653,2.1933,2.0778,2.1933,2.1933,1.768,1.5984,1.815,35.8619
1602.5364,13.0952,0.0049,2.1852,119.643,261.797,76.3076,0.4526,3.0382,1.7594,2.2188,2.0628,2.2188,2.2188,1.6108,1.6084,1.8402,36.2657
1602.6888,13.039,-0.0003,2.1451,119.128,268.589,78.9557,0.4807,3.0089,1.7731,2.1381,1.995,2.1381,2.1381,1.5504,1.6383,1.8288,36.569
1602.8412,13.0952,-0.0002,2.12,119.764,269.954,77.9958,0.5171,2.9997,1.7724,2.144,1.9982,2.144,2.144,1.5546,1.6284,1.8063,36.9728
1602.9936,13.1289,-0.0008,2.1477,120.12,273.782,79.2153,0.5284,2.979,1.7633,2.1651,2.004,2.1651,2.1651,1.706,1.6183,1.7751,36.3884
1603.146,13.2562,-0.0001,2.1999,120.486,276.103,76.8848,0.5158,2.9401,1.756,2.1596,1.9991,2.1596,2.1596,1.7161,1.6032,1.7595,35.3797
1603.2984,13.2862,-0.0001,2.1924,120.532,275.187,76.9508,0.4854,2.8593,1.7431,2.0649,1.9671,2.0649,2.0649,1.5063,1.5852,1.7341,34.3623
1603.4508,13.3087,-0.0006,2.1768,120.344,275.777,77.4233,0.4298,2.7822,1.731,2.0936,2.0037,2.0936,2.0936,1.4636,1.5656,1.8206,33.5192
1603.6032,13.2862,0.0,2.1724,120.359,274.409,78.3761,0.4197,2.7729,1.7253,2.0681,1.9335,2.0681,2.0681,1.6541,1.5456,1.8451,32.548
1603.7556,13.1963,-0.0015,2.1669,120.202,270.309,77.4584,0.4289,2.8059,1.7184,1.9889,1.8816,1.9889,1.9889,1.4672,1.5355,1.7282,31.9287
1603.908,13.2188,-0.0009,2.1267,120.098,266.139,74.6267,0.4364,2.8546,1.716,2.0164,1.943,2.0164,2.0164,1.4993,1.5397,1.8308,31.3188
1604.0604,13.1738,-0.0004,2.1273,119.441,263.515,72.4106,0.4437,2.8823,1.7201,2.1768,2.079,2.1768,2.1768,1.494,1.5362,1.8859,31.0111
1604.2128,13.2075,0.0001,2.1607,118.574,261.876,75.2735,0.4522,2.8527,1.7349,2.2632,2.1667,2.2632,2.2632,1.8594,1.5357,1.9558,30.3262
1604.3652,13.1738,0.0002,2.2051,118.781,260.755,75.8938,0.4636,2.7531,1.7492,2.3094,2.1716,2.3094,2.3094,1.9437,1.5799,1.9902,30.3243
1604.5176,13.1738,0.0007,2.2081,117.954,260.762,76.1809,0.4737,2.7273,1.7561,2.2938,2.1715,2.2938,2.2938,2.0146,1.6435,2.133,30.3223
1604.67,13.0614,0.0003,2.2066,116.961,260.677,70.1517,0.4703,2.7725,1.7663,2.2551,2.136,2.2551,2.2551,2.0644,1.6425,2.0734,30.3204
1604.8224,12.9715,0.0001,2.1577,116.79,259.961,72.3896,0.4669,2.864,1.7647,2.0778,1.9812,2.0778,2.0778,1.8491,1.6087,1.9915,30.3715
1604.9748,12.9266,0.0003,2.1175,117.159,257.177,71.9897,0.4673,2.9254,1.7534,1.9967,1.8816,1.9967,1.9967,1.5695,1.5823,1.8468,30.8819
1605.1272,12.994,0.0004,2.1433,117.203,251.845,74.0058,0.4966,2.9165,1.75,2.1284,1.9106,2.1284,2.1284,1.5713,1.5567,1.8729,31.8146
1605.2796,13.0165,0.0004,2.1603,117.408,253.519,68.9245,0.5142,2.9176,1.7547,2.2251,2.0729,2.2251,2.2251,1.7943,1.5583,2.007,32.9008
1605.432,12.8929,0.0002,2.1274,116.944,255.581,68.9245,0.5108,2.9322,1.7616,2.0334,1.9217,2.0334,2.0334,1.7798,1.5893,1.9282,33.8339
1605.5844,12.8442,0.0,2.1241,117.621,258.03,70.6887,0.4732,2.9731,1.7697,1.9519,1.8466,1.9519,1.9519,1.5638,1.6287,1.8128,34.2344
1605.7368,12.9491,-0.001,2.1431,118.819,264.311,75.2407,0.4533,2.9474,1.775,2.0297,1.9527,2.0297,2.0297,1.591,1.6304,1.8171,34.5431
1605.8892,12.9715,0.0004,2.1572,119.59,266.582,77.6754,0.4498,2.9003,1.775,2.0965,1.988,2.0965,2.0965,1.571,1.5745,1.8645,35.0033
1606.0416,12.994,-0.0002,2.1623,119.948,267.724,76.2776,0.4544,2.8651,1.774,2.0851,1.9911,2.0851,2.0851,1.5768,1.5391,1.9613,35.2354
1606.194,13.0165,-0.0008,2.1523,119.162,268.383,72.0214,0.4505,2.7975,1.773,2.1502,1.9769,2.1502,2.1502,1.6189,1.5576,1.9719,35.0999
1606.3464,13.0839,-0.0013,2.1413,119.758,261.525,74.6679,0.446,2.7879,1.7756,2.1093,1.9923,2.1093,2.1093,1.6289,1.585,1.9483,34.571
1606.4988,13.2188,-0.0017,2.1379,119.909,259.413,74.1622,0.4434,2.8172,1.7738,2.1212,2.0028,2.1212,2.1212,1.5774,1.597,1.9817,33.6699
1606.6512,13.1738,0.0003,2.1398,119.468,259.64,77.5617,0.4482,2.838,1.7736,2.1914,2.0528,2.1914,2.1914,1.5605,1.5934,2.0245,33.0345
1606.8036,13.1588,0.0003,2.1601,118.43,260.447,72.3746,0.4454,2.8786,1.7822,2.2008,2.0162,2.2008,2.2008,1.6502,1.5802,1.9011,32.4244
1606.956,12.8891,0.0009,2.1595,118.026,260.741,71.9752,0.4487,2.9498,1.7875,2.1005,1.9464,2.1005,2.1005,1.5754,1.5705,1.7695,31.9151
1607.1084,12.6794,0.0004,2.0984,117.357,259.398,71.2946,0.4503,3.0418,1.7833,2.0807,1.9279,2.0807,2.0807,1.4352,1.5918,1.7075,31.7586
1607.2608,12.6494,-0.0034,2.1186,117.293,256.998,69.8967,0.4354,3.1669,1.7769,1.952,1.7703,1.952,1.952,1.3057,1.612,1.5997,31.3221
1607.4132,12.6457,-0.008,2.133,118.485,258.834,68.944,0.3992,3.3153,1.7677,1.8477,1.6657,1.8477,1.8477,1.2163,1.5959,1.5135,31.0585
1607.5656,12.6569,-0.0085,2.142,117.566,264.097,71.5129,0.3776,3.4805,1.7496,1.8058,1.6516,1.8058,1.8058,1.226,1.5722,1.5688,30.6849
1607.718,12.7019,-0.0064,2.1359,118.105,267.478,76.2982,0.3758,3.6413,1.7328,1.7947,1.6586,1.7947,1.7947,1.1757,1.5604,1.4824,30.0382
1607.8704,12.7468,-0.0044,2.1236,118.779,266.74,77.4753,0.3984,3.686,1.712,1.8439,1.6823,1.8439,1.8439,1.1928,1.5342,1.4062,29.9979
1608.0228,12.7618,-0.0043,2.1914,118.037,263.598,72.7387,0.417,3.6767,1.6959,1.8561,1.7549,1.8561,1.8561,1.3056,1.5104,1.543,30.5929
1608.1752,12.7356,-0.0061,2.1886,117.588,262.374,70.0684,0.4141,3.5971,1.6924,1.9794,1.8313,1.9794,1.9794,1.3291,1.5028,1.5659,31.0974
1608.3276,12.8742,-0.0068,2.1454,117.006,261.796,68.7854,0.4097,3.5373,1.6983,2.0421,1.8832,2.0421,2.0421,1.6267,1.4954,1.5915,31.9036
1608.48,12.9603,-0.0052,2.1172,116.248,259.879,68.5709,0.4066,3.5086,1.7263,2.0419,1.9029,2.0419,2.0419,1.7757,1.5023,1.7054,33.0327
1608.6324,12.9715,-0.0052,2.1508,116.102,254.47,67.1961,0.4061,3.5494,1.7486,1.9977,1.8192,1.9977,1.9977,1.4557,1.5146,1.5846,33.9954
1608.7848,13.0277,-0.0061,2.1856,116.018,248.756,68.2547,0.4156,3.5201,1.7712,1.9795,1.8422,1.9795,1.9795,1.4873,1.561,1.7767,34.5102
1608.9372,13.1663,-0.0071,2.1275,115.861,240.051,63.2821,0.4301,3.4841,1.7967,2.1483,2.0787,2.1483,2.1483,1.6039,1.6036,2.068,34.8411
1609.0896,13.2188,-0.0055,2.101,115.552,233.772,59.2403,0.4378,3.4145,1.8128,2.8994,2.4027,2.8994,2.8994,2.0807,1.6019,2.2889,34.9966
1609.242,13.2412,-0.0045,2.0756,116.107,237.89,55.9383,0.4421,3.3449,1.8401,3.0953,2.6177,3.0953,3.0953,2.106,1.6016,2.4331,35.3974
1609.3944,13.0015,-0.0045,2.0751,116.391,249.173,61.7606,0.4432,3.2973,1.9058,2.3144,2.2184,2.3144,2.3144,1.9793,1.7258,2.148,35.0411
1609.5468,12.9603,-0.004,2.1006,117.049,255.121,66.2481,0.4375,3.2081,1.979,2.133,2.0167,2.133,2.133,1.7319,1.9915,1.9518,34.3986
1609.6992,12.994,-0.001,2.1377,117.527,248.767,71.5897,0.4271,3.096,2.0185,2.0679,1.9644,2.0679,2.0679,1.5902,2.1418,1.845,33.8833
1609.8516,13.009,-0.0003,2.1497,116.504,250.045,71.2495,0.4157,3.0701,2.0394,2.0357,1.9429,2.0357,2.0357,1.5934,2.0799,1.7428,32.9708
1610.004,13.0015,-0.0003,2.1574,115.523,262.733,74.8488,0.4019,3.129,1.964,2.0217,1.9165,2.0217,2.0217,1.6591,1.7674,1.7041,32.4049
1610.1564,13.0614,-0.0003,2.1277,115.233,264.134,72.9202,0.3732,3.1739,1.8674,2.1661,2.0656,2.1661,2.1661,1.8224,1.5651,1.8939,32.164
1610.3088,13.0839,-0.0005,2.1453,115.575,264.884,72.7136,0.37,3.0365,1.8094,2.1025,1.92,2.1025,2.1025,1.8962,1.5266,1.7666,31.8073
1610.4612,13.1064,-0.0026,2.1448,116.279,268.491,72.0866,0.3944,3.104,1.7973,1.9304,1.8264,1.9304,1.9304,1.4544,1.5366,1.6609,31.4674
1610.6136,13.1289,-0.0042,2.1524,117.325,265.04,72.505,0.4259,3.0685,1.783,1.9751,1.8582,1.9751,1.9751,1.381,1.5957,1.6714,32.0544
1610.766,13.1513,-0.0051,2.1719,119.039,268.28,73.1576,0.4433,3.0786,1.7689,2.1803,1.9753,2.1803,2.1803,1.582,1.5388,1.7207,32.4958
1610.9184,13.1963,-0.0051,2.1613,120.386,268.853,69.6445,0.4385,3.0696,1.7572,2.2196,2.1465,2.2196,2.2196,1.9969,1.4894,1.7761,32.3559
