DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL
1586.9944,18.8605,0.0655,1.854,144.6271,230.6791,51.5768,0.5956,2.712,2.6426,2.8925,2.345
1587.1468,19.2386,0.049,1.7069,145.0616,226.6584,48.198,0.6148,2.0924,3.3496,3.7895,2.9498
1587.2992,19.45,0.031,1.5774,158.3193,234.1616,42.0043,0.6389,1.7911,3.3986,3.19,2.989
1587.4516,19.6115,0.0148,1.4977,156.9887,233.0431,37.7636,0.617,1.8093,3.3712,1.5588,2.9424
1587.604,19.4281,0.0084,1.5038,154.5443,226.9325,36.1546,0.6302,1.7435,3.6016,4.8567,3.1419
1587.7564,19.6913,0.0063,1.4921,153.0471,230.5478,36.3873,0.6044,1.4975,3.6699,3.8564,3.1844
1587.9088,19.733,0.0051,1.4653,150.2952,214.1256,37.5031,0.644,1.3507,3.7941,2.2115,3.3025
1588.0612,20.2124,0.0015,1.4163,148.6536,208.2993,37.1813,0.6185,0.9911,4.2405,3.6748,3.6378
1588.2136,19.8593,0.0022,1.3704,148.4062,207.9413,35.1885,0.6036,0.5407,3.9576,3.8635,3.3788
1588.366,18.8769,0.0031,1.3345,147.63,207.8688,35.8978,0.5968,0.336,3.607,4.2383,3.1164
1588.5184,18.5851,0.0057,1.329,147.149,205.9273,36.3269,0.6212,0.4394,3.5182,4.1467,3.0281
1588.6708,18.6269,0.0054,1.3632,146.6207,219.5576,40.5231,0.6432,0.7107,3.4776,1.371,3.0043
1588.8232,18.557,0.0083,1.4089,146.4708,225.5591,42.563,0.6138,0.7952,3.6004,1.7664,3.0787
1588.9756,18.5682,0.0076,1.4276,146.0844,220.7583,42.2405,0.6114,0.9875,3.9267,2.8104,3.3475
1589.128,18.3273,0.0099,1.3949,144.8549,218.2811,40.404,0.6282,1.0196,4.2707,3.509,3.6414
1589.2804,18.3842,0.0062,1.3482,144.9878,213.2293,35.6801,0.642,0.9306,4.207,2.559,3.5589
1589.4328,18.82,0.0055,1.3201,144.8107,215.5875,34.3503,0.6236,0.5904,4.3928,3.4279,3.7463
1589.5852,19.4523,0.004,1.3179,144.9243,210.6686,34.1894,0.5806,0.6457,4.4816,3.3101,3.8191
1589.7376,19.4983,0.0029,1.3345,144.742,213.2264,34.9305,0.5557,0.7321,4.5629,2.093,3.882
1589.89,18.6514,0.0011,1.3298,143.6551,212.2337,36.1651,0.5719,0.702,4.8461,2.2214,4.0539
1590.0424,19.4489,0.0021,1.3157,143.0835,219.2741,34.0199,0.5671,0.457,4.0835,3.2313,3.3739
1590.1948,19.0384,0.0017,1.2922,144.3297,215.0949,32.8344,0.596,0.4151,2.9071,3.1354,2.4061
1590.3472,18.8703,0.0024,1.2846,143.0835,201.1212,30.5261,0.578,0.7431,2.2657,3.7515,1.9199
1590.4996,18.6099,0.0035,1.2859,141.8561,198.246,34.1319,0.6358,1.4308,1.8094,1.2856,1.5474
1590.652,18.3744,0.0105,1.337,141.6066,204.8208,41.9141,0.6175,2.4711,1.6556,1.0141,1.4191
1590.8044,18.0628,0.0316,1.466,142.105,206.1645,55.8491,0.5968,3.8022,1.7015,1.0214,1.4644
1590.9568,17.6966,0.0635,1.6545,143.232,208.0101,68.7618,0.527,4.2306,1.8513,1.0849,1.6048
1591.1092,17.5752,0.0953,1.7981,141.0143,202.313,74.3609,0.5219,4.4183,1.9931,1.1874,1.7142
1591.2616,17.5737,0.1151,1.8531,140.0933,198.559,78.0862,0.5263,4.6094,2.1285,1.3209,1.8226
1591.414,17.435,0.1219,1.871,135.3041,198.1381,77.2585,0.5115,4.7346,2.218,1.176,1.9029
1591.5664,17.2362,0.1168,1.8728,130.3545,197.81,77.2272,0.4639,4.61,2.2021,1.3411,1.8955
1591.7188,17.2061,0.1124,1.8664,123.9745,206.2297,73.3951,0.4367,4.4835,2.1537,1.2459,1.8334
1591.8712,16.9609,0.1101,1.8547,120.1243,216.238,73.4472,0.4531,4.5515,2.0803,1.2461,1.7831
1592.0236,16.7618,0.1076,1.8391,119.5368,219.0548,76.7775,0.4854,4.519,2.0102,1.2171,1.7189
1592.176,16.7764,0.0946,1.7988,120.404,218.074,78.9954,0.5181,4.6367,1.9621,1.2376,1.6822
1592.3284,16.6772,0.0832,1.7672,125.6969,214.0749,78.2664,0.5177,4.8256,1.89,1.1135,1.6176
1592.4808,16.5778,0.0696,1.7337,128.7273,217.2963,77.1751,0.5128,4.5585,1.8098,1.2451,1.5435
1592.6332,16.5546,0.054,1.6989,128.6961,218.453,75.5393,0.497,4.2595,1.7612,1.1072,1.4806
1592.7856,16.4081,0.045,1.6853,129.7735,213.138,74.4739,0.4987,4.239,1.6903,1.0154,1.4509
1592.938,16.2273,0.0327,1.6741,129.9942,204.329,75.4112,0.4905,4.3901,1.6382,0.9317,1.4026
1593.0904,16.0841,0.0306,1.675,131.729,203.4035,78.321,0.519,4.2775,1.5865,0.9474,1.3762
1593.2428,16.0862,0.0349,1.6839,136.2667,206.3731,81.7295,0.5179,4.3243,1.6102,0.9618,1.3757
