DEPTH,CALI,DENC,DENS,DTC,DTS,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1625.7532,12.1348,-0.019,2.2099,112.0,254.8744,67.6336,0.4115,3.2614,1.9389,2.1282,1.7089,-235.3125
1625.9056,12.1072,-0.0148,2.2112,112.05,252.4048,70.891,0.3973,3.2539,1.8621,2.2007,1.6519,-236.8125
1626.058,12.1368,-0.0138,2.2094,111.85,254.8608,69.4193,0.3869,3.3574,1.8497,1.6427,1.6424,-235.4375
1626.2104,12.1322,-0.0107,2.2163,112.3,261.4971,72.4016,0.3812,3.3249,1.8563,1.6539,1.6503,-236.1875
1626.3628,12.1278,-0.0115,2.2185,112.4,254.2525,69.6328,0.4007,3.2485,1.916,1.868,1.6915,-235.4375
1626.5152,12.1304,-0.013,2.2204,112.4,250.0576,68.3608,0.3968,3.1537,1.9667,1.9519,1.7425,-233.75
1626.6676,12.1252,-0.0155,2.219,112.7,252.8285,68.1264,0.395,3.137,2.0841,2.0207,1.8321,-231.625
1626.82,12.1376,-0.0121,2.2236,112.95,260.6566,71.9438,0.387,3.1762,2.0674,1.9315,1.827,-232.875
1626.9724,12.1425,-0.0129,2.2215,113.35,254.1879,74.3296,0.3818,3.27,2.0343,2.0101,1.8137,-231.8125
1627.1248,12.1459,-0.0104,2.2219,113.45,250.4865,76.9032,0.3746,3.3796,2.0646,2.0402,1.8286,-233.75
1627.2772,12.1521,-0.0084,2.2133,113.9,263.9651,77.5264,0.38,3.3404,2.0601,1.9861,1.8297,-235.0
1627.4296,12.1433,-0.0052,2.2132,114.0,259.1215,76.7705,0.3971,3.2563,2.1006,2.0037,1.8644,-235.5
1627.582,12.151,-0.0089,2.2087,113.85,260.5423,71.5891,0.3944,3.1752,2.1126,1.8546,1.8653,-235.0625
1627.7344,12.1536,-0.0057,2.222,113.85,257.1552,70.7273,0.3968,3.2261,2.0545,1.8384,1.8178,-235.0625
1627.8868,12.1613,-0.0025,2.2243,113.95,260.3612,71.2692,0.3734,3.1558,1.9989,1.8234,1.7732,-235.3125
1628.0392,12.1714,-0.0038,2.2251,113.8,254.9391,78.0171,0.3815,3.1093,1.981,1.7766,1.7595,-235.1875
1628.1916,12.1761,-0.0093,2.2186,113.8,257.6541,78.4943,0.393,2.9786,1.9624,1.8162,1.7486,-231.625
1628.344,12.1672,-0.0071,2.2237,113.5,259.3438,75.8672,0.413,3.0982,2.0189,1.8947,1.7933,-231.4375
1628.4964,12.2126,-0.0089,2.2283,113.1,251.1823,72.9405,0.4297,3.1304,2.1111,2.1703,1.8743,-232.8125
1628.6488,12.2129,-0.0136,2.2195,114.0,259.4568,70.8576,0.4348,3.107,2.1531,2.231,1.9246,-234.5
