DEPTH,CALI,DENC,DENS,DTC,DTS1,DTS2,GR,NEUT,PEF,RDEP,RMIC,RSHAL,SP
1787.9324,12.8244,0.0178,2.1654,118.8188,279.4347,292.1151,80.4855,0.4542,3.528,1.6512,2.1959,1.4642,-21.875
1788.0848,12.8267,0.0188,2.1749,118.7633,279.8641,281.1479,80.7718,0.4475,3.5726,1.6397,2.1416,1.4559,-21.6875
1788.2372,12.7627,0.0183,2.2087,117.1382,270.249,276.9163,78.3083,0.4477,3.3677,1.6466,2.1018,1.4582,-22.0625
1788.3896,12.7738,0.0119,2.225,121.4372,270.0995,271.3222,81.1826,0.4569,3.3206,1.5583,1.1057,1.3754,-21.125
1788.542,12.8018,0.0023,2.227,120.3749,269.1105,271.5383,78.7926,0.4666,3.2552,1.5162,1.0867,1.3424,-21.0625
1788.6944,12.8161,-0.0015,2.2142,120.7494,264.9584,269.1142,81.8915,0.4575,3.3465,1.5567,1.3035,1.3845,-21.4375
1788.8468,12.8199,-0.0102,2.2123,121.2544,270.9311,277.8271,78.243,0.4353,3.4813,1.6142,1.9049,1.4198,-20.75
1788.9992,12.7974,-0.0071,2.2237,121.1608,270.0203,266.9086,81.0943,0.4266,3.5918,1.618,1.876,1.4008,-18.8125
1789.1516,12.6472,-0.0088,2.2125,120.663,268.196,270.4017,71.2111,0.4234,3.3885,1.4399,1.0581,1.2574,-16.5
1789.304,12.3766,-0.0134,2.1676,120.0773,267.0297,268.7222,69.037,0.4186,3.0176,1.2196,0.9979,1.0864,-14.4375
1789.4564,12.2898,-0.0158,2.1279,118.8906,260.73,267.6879,60.8589,0.3849,2.6233,1.0189,0.985,0.9092,-11.5
1789.6088,12.2938,-0.0153,2.1125,118.8584,254.3396,261.2688,51.3207,0.3555,2.4156,0.8856,0.9603,0.7936,-9.375
1789.7612,12.3034,-0.0203,2.1096,117.5995,244.2415,244.2584,49.6803,0.3219,2.3784,0.8592,0.9853,0.7804,-9.5625
1789.9136,12.3134,-0.0191,2.1177,114.9075,233.0814,219.9672,46.9508,0.3106,2.3917,0.8297,1.0471,0.7412,-8.75
1790.066,12.3138,-0.0212,2.1165,114.9181,231.2491,214.2487,48.9015,0.3075,2.4603,0.7806,0.7229,0.6852,-7.0
1790.2184,12.313,-0.0224,2.1132,114.6589,226.9514,208.0359,45.7621,0.3409,2.4101,0.7855,0.7112,0.6889,-6.5
1790.3708,12.3134,-0.0231,2.1047,113.3418,224.4886,207.3749,43.9299,0.3404,2.3657,0.7797,0.6188,0.6801,-6.875
1790.5232,12.3237,-0.0225,2.1012,111.7451,226.7822,213.2332,48.7466,0.3433,2.3457,0.7397,0.5895,0.6394,-6.25
1790.6756,12.3494,-0.0223,2.1012,110.9339,226.9892,209.9354,47.8194,0.3216,2.3651,0.725,0.6736,0.6325,-6.5625
1790.828,12.3565,-0.014,2.1111,111.4439,228.1369,212.9674,53.8355,0.3249,2.5047,0.7773,0.715,0.6907,-7.1875
1790.9804,12.3799,-0.0032,2.1519,114.3319,227.2538,215.2814,52.7766,0.3269,2.7423,0.9478,0.7223,0.8263,-7.875
1791.1328,12.3968,0.0021,2.2,112.7423,231.0113,235.0639,67.1297,0.352,3.166,1.3613,0.946,1.1372,-8.6875
1791.2852,12.4111,0.0113,2.2546,114.4871,238.8136,237.9085,76.143,0.3612,3.4501,1.6184,1.1347,1.3358,-10.3125
1791.4376,12.3881,0.0364,2.2678,114.1128,242.2126,237.4301,77.2723,0.3714,3.5936,1.9547,1.6493,1.6077,-11.3125
1791.59,12.3905,0.0333,2.2489,114.004,247.7353,246.6451,76.7783,0.3748,3.5248,1.9627,1.5813,1.5932,-11.9375
1791.7424,12.3682,0.0174,2.2208,116.6263,254.2016,257.2411,78.6375,0.3828,3.136,1.7251,1.4744,1.3994,-11.0
1791.8948,12.3464,0.0175,2.226,116.9117,256.3295,254.3041,69.0684,0.3856,2.7021,1.4229,1.659,1.1813,-10.4375
1792.0472,12.2793,0.0106,2.2003,116.2991,257.7234,253.4598,59.9673,0.3537,2.4719,1.0649,0.7445,0.8875,-9.9375
1792.1996,12.2776,-0.0069,2.1607,115.7123,254.4256,252.2822,51.7591,0.3386,2.4582,0.8411,0.7307,0.6949,-7.625
