DEPTH,CALI,DENC,DENS,DTC,DTS_1,DTS_2,GR,NEUT,PEF,RDEP,RMIC,RSHAL
2587.4472,12.1619,0.0249,2.3716,108.1821,210.3072,241.6856,91.1626,0.3996,,1.5224,4.9711,1.6019
2587.5996,12.159,0.0129,2.3697,108.4627,229.2701,240.2585,91.0714,0.4234,,1.529,6.4591,1.6426
2587.752,12.159,0.0002,2.356,108.7393,229.6194,241.7354,87.8783,0.3982,,1.542,3.0145,1.6956
2587.9044,12.1563,-0.0007,2.3587,109.2767,231.1145,243.0442,89.0618,0.368,,1.5485,1.921,1.6985
2588.0568,12.331,-0.002,2.3454,108.73,237.5824,243.3647,90.2325,0.3473,,1.5424,2.7977,1.6947
2588.2092,12.094,-0.0012,2.3399,108.1081,235.509,238.2783,92.255,0.363,,1.5394,4.592,1.702
2588.3616,12.0994,0.0001,2.3398,107.7711,236.1645,240.7881,92.5418,0.3685,,1.5882,4.1378,1.7292
2588.514,12.0994,0.0012,2.3619,107.2362,223.7189,238.8783,89.1544,0.3781,,1.7393,2.788,1.8703
2588.6664,12.1319,-0.0005,2.3784,105.0353,226.5204,237.4852,91.5634,0.3627,,1.8573,2.3762,1.9878
2588.8188,12.1737,0.0073,2.3697,101.1102,220.7378,243.0979,91.9885,0.34,,1.8951,3.2758,2.0096
2588.9712,12.1495,0.0079,2.3345,101.0464,214.6528,237.5392,91.7027,0.3085,,1.9195,6.3845,2.0226
2589.1236,12.1603,0.015,2.294,101.6234,209.4475,245.3468,91.4616,0.2985,,1.9489,6.4005,2.0284
2589.276,12.1644,0.0391,2.2712,101.5891,202.0999,235.7371,93.3266,0.3057,,1.8893,1.6867,1.9623
2589.4284,12.2443,0.0684,2.264,102.1066,199.4277,232.7173,92.3643,0.3219,,1.8764,1.0178,1.9628
2589.5808,12.4962,0.0672,2.2737,104.4219,200.7787,231.8556,90.0032,0.3367,,1.8736,0.9569,1.9501
2589.7332,12.224,0.0742,2.3244,106.4319,209.2307,224.0875,91.6537,0.3571,,1.8071,1.2323,1.8887
2589.8856,12.1955,0.0651,2.3684,106.3215,211.1282,225.6353,95.0517,0.3726,,1.6356,1.8404,1.7589
2590.038,12.1536,0.0321,2.3514,106.1739,210.808,240.1063,91.8673,0.386,,1.6322,1.9462,1.7638
2590.1904,12.1075,0.0025,2.3386,106.6039,213.776,244.729,86.4168,0.3947,,1.634,1.9089,1.7815
2590.3428,12.0439,-0.0022,2.3563,107.2944,213.6718,239.2408,85.0546,0.396,,1.6336,2.8291,1.7829
2590.4952,12.0954,0.0033,2.3552,106.9375,221.3945,240.8571,85.6855,0.3908,,1.6239,4.3391,1.7795
2590.6476,12.1319,0.0144,2.308,107.2135,219.2456,238.798,85.0643,0.3711,,1.5728,3.291,1.749
2590.8,12.5206,0.0326,2.2694,107.9416,224.6748,236.3207,90.8686,0.3683,,1.5229,2.5633,1.7095
2590.9524,12.5219,0.0576,2.2586,107.999,222.6241,235.9999,90.2947,0.3734,,1.5165,2.0022,1.6921
2591.1048,12.526,0.0849,2.2856,109.7188,223.6319,236.7868,92.8402,0.3896,,1.4972,1.4001,1.6913
2591.2572,12.4094,0.0952,2.292,110.3562,240.961,239.9379,93.0627,0.3885,,1.5,1.2079,1.6829
